base_requirement_id,state_code,state_name,board_type,provider_type,substantial_cme_required,cme_equivalent_accepted,total_hours_required,renewal_period_months,hours_per_year_equivalent,min_category1_hours,category1_percentage,max_category2_hours,rollover_allowed,max_rollover_hours,accreditation_required,base_effective_date,base_last_updated,base_statute_citation,board_guidance_url,base_notes,board_name,board_abbreviation,board_website_url,board_cme_guidance_url,board_contact_email,board_phone,board_last_verified,content_specific_count,content_topics,content_requirements_summary,exemptions_count,exemption_types,exemptions_summary,special_population_count,special_population_topics,special_population_summary,base_created_at,base_updated_at
a3e5fca2-f07f-4f1f-b6a0-6823c9f93ae0,PR,Puerto Rico,COMBINED,BOTH,True,False,60,36,20.0,,,,False,,50% in specialty/subspecialty/certification area,,2025-10-01,Reglamento General de la Junta de Licenciamiento y Disciplina Medica de Puerto Rico 9.1,,"60 hrs/3 years: 50% in specialty area. Required: 2 hrs Dengue/Chikungunya/Zika, 1 hr diabetes, 1 hr vaccination, 1 hr obesity prevention, 1 hr cardiovascular health, 3 hrs pain mgmt, 3 hrs antibiotics, 4 hrs bioethics/professionalism. Autism providers: 15 hrs autism. Pediatricians: 6 hrs autism. ER physicians: 20 hrs Emergency Medicine (including CPR, ACLS, PALS, emergency mgmt).",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356029,2025-11-19T01:49:35.356029
f726ae16-33e1-42e8-9ab3-37edf09fbb63,RI,Rhode Island,COMBINED,BOTH,True,True,40,24,20.0,40,100.0,,False,,AMA Category 1 or AOA Category 1A,,2025-10-01,216-RICR-40-05-1.5.5,,"All AMA Cat 1 or AOA Cat 1A. 2 hrs on universal precautions, infection control, transmission modes, bioterrorism, end-of-life, palliative care, OSHA, ethics, or pain mgmt. ABMS MOC participation = CME equivalent.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356031,2025-11-19T01:49:35.356031
1ef30d9d-133b-45a1-bd3a-0bb9170a48ba,SC,South Carolina,COMBINED,BOTH,True,True,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,SC Code § 40-47-40,,"All Category 1; ≥30 hrs directly related to practice area; ≥2 hrs on approved procedures for prescribing/monitoring Schedules II-IV controlled substances. May instead demonstrate ABMS, AOA, or other approved specialty board certification/recertification.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356033,2025-11-19T01:49:35.356033
e52d8c65-bffd-4cb2-9566-6813e1d7721d,SD,South Dakota,COMBINED,BOTH,False,False,,,,,,,False,,,,2025-10-01,,,South Dakota does not have a set number of required CME credit hours for physician license renewal.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356035,2025-11-19T01:49:35.356035
65bd1a80-aa20-441f-bd57-a15e77bf4777,TN-O,Tennessee,OSTEOPATHIC,DO,True,False,40,24,20.0,40,,,False,,AOA 1A or 2A,,2025-10-01,Tenn. Comp. R. & Regs. 1050-02-.12,,All AOA 1A or 2A. ≥2 of 40 hrs designated to address prescribing practices.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356038,2025-11-19T01:49:35.356038
9e20c2cc-281d-4e19-8644-c58762690e05,TN-M,Tennessee,MEDICAL,MD,True,False,40,24,20.0,40,100.0,,False,,Category 1,,2025-10-01,Tenn. Comp. R. & Regs. 0880-02-.19,,"All Category 1. ≥2 of 40 hrs on controlled substance prescribing (must include Dept treatment guidelines on opioids, benzodiazepines, barbiturates, carisoprodol; may include addiction, risk mgmt tools). Intractable pain treatment providers: specialized CME in pain management.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356036,2025-11-19T01:49:35.356036
b56112fb-2e4c-4188-a3b7-b948e6baca78,TX,Texas,COMBINED,BOTH,True,True,48,24,24.0,24,50.0,,False,,24 hrs AMA Cat 1 or AOA Cat 1A; 24 hrs informal self-study/hospital lectures/grand rounds/case conferences,,2025-10-01,"Tex. Admin. Code tit. 22, § 161.35",,"48 hrs: 24 AMA Cat 1 or AOA Cat 1A (2 on ethics/professional responsibility including risk mgmt, domestic/child abuse; human trafficking must be included), 24 informal self-study/lectures/rounds. Direct patient care: 2 hrs opioid/controlled substance pain mgmt in each of first two renewals post-licensure, then every 8 years. Pain clinic practitioners: 10 hrs annually in pain mgmt. Exempt if ABMS board cert/recert in preceding 36 months. Effective 9/1/2025: nutrition training per Texas Nutrition Advisory Committee guidelines.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356040,2025-11-19T01:49:35.356040
0834f611-5d9a-4085-8a77-dbd3f45e3a9d,VI,U.S. Virgin Islands,COMBINED,BOTH,True,False,40,12,40.0,,,,True,,Board-approved,,2025-10-01,VI Code 27 § 38d,,≥40 hrs each year; Board may accept average of 40 hrs but no less than 25 hrs/year over 3-year period.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356047,2025-11-19T01:49:35.356047
aa05d379-8ef9-456f-bf75-c32089aaab68,UT,Utah,COMBINED,BOTH,True,False,40,24,20.0,34,,,False,,34 hrs Category 1; 6 hrs max from DOPL; up to 15% from volunteer healthcare (1 cr/4 hrs) and AOA/ACCME residency participation,,2025-10-01,Utah Admin. Code R156-67-304,,"40 hrs: 34 Cat 1, max 6 hrs from DOPL. Up to 15% from volunteer services (1 CME/4 hrs documented) and AOA/ACCME residency participation. Controlled substance prescribers: ≥3.5 hrs in controlled substance prescribing classes. ≥1 online suicide prevention training course from DOPL list.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356042,2025-11-19T01:49:35.356042
6f9f7148-d625-46b3-8dfc-a668051b65aa,VT-O,Vermont,OSTEOPATHIC,DO,True,False,30,24,15.0,,,,False,,Board-established requirements,,2025-10-01,26 V.S.A § 1836; Code Vt. R. 04 030 220,,30 hrs/2 years meeting Board requirements.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356045,2025-11-19T01:49:35.356046
dc9c0db5-f8e0-4e58-9edb-1621512c7fd1,VT-M,Vermont,MEDICAL,MD,True,False,30,24,15.0,,,,False,,Category 1,,2025-10-01,12-5 Vt. Code R. § 200:22.1,,"30 hrs/2 years. 1 hr hospice, palliative care, or pain mgmt services. DEA registrants: ≥2 hrs on safe/effective prescribing of controlled substances and pain management.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356044,2025-11-19T01:49:35.356044
2b62a743-cc46-431f-9dbd-7756851ad28a,VA,Virginia,COMBINED,BOTH,True,False,60,24,30.0,30,50.0,,False,,30 hrs Category 1; remainder Category 2,,2025-10-01,18 Va. Admin. Code 85-20-235,,"60 hrs: 30 Cat 1, remainder Cat 2. Up to 15 Cat 2 hrs may be satisfied through voluntary services to low-income individuals via local health dept or free clinic.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356049,2025-11-19T01:49:35.356049
ba4ed5e2-e431-4673-8672-4e246b897e5f,WA-O,Washington,OSTEOPATHIC,DO,True,True,150,36,50.0,60,40.0,,False,,60 hrs Category 1,2019-01-01,2025-10-01,WAC 246-853-080; WAC 246-853-070,,"150 hrs/3 years; 60 Cat 1. One-time 6-hr suicide assessment/treatment/mgmt. Effective 1/1/19: opioid prescribers complete one-time ≥1 hr on best practices in opioid prescribing or current opioid prescribing rules. Min 2 hrs health equity per cycle. Board may accept ABOMS or ABMS cert/recert within last 6 years, among other CME equivalents.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356053,2025-11-19T01:49:35.356053
fc42e7f0-43a9-4110-91d9-96fc716377b5,WA-M,Washington,MEDICAL,MD,True,True,200,48,50.0,,,,False,,"May earn all 200 in Cat 1, but max 80 hrs each of Cat 2, 3, 4, 5",2019-01-01,2025-10-01,WAC 246-919-460,,"200 hrs/4 years. May earn all 200 in Cat 1, or max 80 each of Cat 2/3/4/5. One-time 6-hr suicide assessment/treatment/mgmt. Min 2 hrs health equity per cycle. Effective 1/1/19: opioid prescribers complete one-time ≥1 hr on best practices in opioid prescribing or opioid prescribing rules. In lieu of CME: AMA PRA in ≥2 of 4 years preceding renewal; ABMS cert in 4 years preceding; or ABMS MOC participation at renewal.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356051,2025-11-19T01:49:35.356051
00dfae8a-b93f-40ef-90b7-39b07e95d705,WV-O,West Virginia,OSTEOPATHIC,DO,True,False,32,24,16.0,16,50.0,,False,,16 hrs AOA Category 1A or 1B,2014-05-01,2025-10-01,W. Va. Code R. § 24-1-15,,32 hrs: 16 AOA Cat 1A or 1B. Beginning 5/1/2014: min 3 hrs drug diversion training and best practice prescribing of controlled substances via Board-approved program. Licensee in clinical residency >9 months of most recent period may substitute verification of participation for CME documentation.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356057,2025-11-19T01:49:35.356057
f6eecb56-2c10-4348-966b-a8973072a760,WV-M,West Virginia,MEDICAL,MD,True,True,50,24,25.0,50,100.0,,False,,Category 1,,2025-10-01,"W. Va. Code, § 30-3-12",,All Category 1. 30 hrs in specialty area(s). May count up to 20 hrs medical student teaching/preceptorship in 50-hr total. 3-hr Board-approved Risk Assessment and Responsible Prescribing of Controlled Substances can be used for 3 of 50 hrs. May satisfy all except 3-hr Risk Assessment by: ABMS cert/recert during reporting period; successful MOC through ABMS during reporting period; or completing 1 full year ACGME postgraduate training during reporting period.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356055,2025-11-19T01:49:35.356055
df545e5b-9b30-4fb4-8f05-1b43f91a7879,WI,Wisconsin,COMBINED,BOTH,True,False,30,24,15.0,30,100.0,,False,,Category 1; 2 hrs opioids/controlled substances,,2025-10-01,Wis. Admin. Code MED § 13.02,,"All Category 1. 2 hrs on prescribing opioids and other controlled substances. Must be AMA or AOA Cat 1, but no longer require specific MEB approval. This 30-hr requirement is separate from 8-hr DEA requirement, but DEA courses can fulfill CME requirement.",,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356060,2025-11-19T01:49:35.356060
fa307df5-1ec6-4047-8a18-2cb9727397a4,WY,Wyoming,COMBINED,BOTH,True,True,60,36,20.0,,,,False,,Category 1 or 2,,2025-10-01,052-3 Wyo. Code R. §§ 3-7,,60 hrs/3 years; all Cat 1 or 2. Controlled substance registration holders: 1 hr responsible prescribing of controlled substances or treatment of substance abuse disorders every 2 years. May earn CME via: AMA-approved Cat I or II; AOA-approved; current AMA PRA; or current ABMS specialty board certificate considered equivalent to hours claimed by licensee.,,,,,,,,0,,,0,,,0,,,2025-11-19T01:49:35.356062,2025-11-19T01:49:35.356062
